radionuclide,CL_lim,TFA_dt,FMA_dt,FMA_ct,FMA_lim,FMA_alpha,LNC_std,LNC_cern
Ho-155,100.0,0.0,0.0,0,0.0,0,0.0,0.261
Ho-157,100.0,0.0,0.0,0,0.0,0,0.0,0.24
Ho-159,100.0,0.0,0.0,0,0.0,0,0.0,0.124
Ho-161,100.0,0.0,0.0,0,0.0,0,0.0,0.00073
Ho-162,100.0,0.0,0.0,0,0.0,0,0.0,0.0519
Ho-162m,10.0,0.0,0.0,0,0.0,0,0.0,0.269
Ho-163,0.0,10.0,1.0,0,0.0,1,0.0,0.0
Ho-164,1000.0,0.0,0.0,0,0.0,0,0.0,0.0
Ho-164m,1000.0,0.0,0.0,0,0.0,0,0.0,0.0
Ho-166,100.0,0.0,0.0,0,0.0,0,0.0,0.00646
Ho-166m,0.1,0.1,1.0,0,0.0,1,0.0,0.852
Ho-167,100.0,0.0,0.0,0,0.0,0,0.0,0.197
I-120,10.0,0.0,0.0,0,0.0,0,0.0,0.941
I-120m,10.0,0.0,0.0,0,0.0,0,0.0,2.27
I-121,100.0,0.0,0.0,0,0.0,0,0.0,0.198
I-122 ,0.0,0.0,0.0,0,0.0,0,0.0,0.0
I-123,100.0,0.0,0.0,0,0.0,0,0.0,0.0502
I-124,10.0,0.0,1.0,0,0.0,1,0.0,0.536
I-125,100.0,0.0,1.0,0,0.0,1,0.0,0.0
I-126,10.0,0.0,1.0,0,0.0,1,0.0,0.249
I-128,100.0,0.0,0.0,0,0.0,0,0.0,0.0398
I-129,0.01,0.001,0.0001,0,1400.0,1,0.0,0.0
I-130,10.0,0.0,0.0,0,0.0,0,0.0,1.23
I-131,10.0,0.0,1.0,0,0.0,1,0.0,0.222
I-132,10.0,0.0,0.0,0,0.0,0,0.0,1.21
I-132m,100.0,0.0,0.0,0,0.0,0,0.0,0.187
I-133,10.0,0.0,0.0,0,0.0,0,0.0,0.354
I-134,10.0,0.0,0.0,0,0.0,0,0.0,1.3
I-135,10.0,0.0,0.0,0,0.0,0,0.0,0.608
In-109,10.0,0.0,0.0,0,0.0,0,0.0,0.29
In-110,10.0,0.0,0.0,0,0.0,0,0.0,1.66
In-110m,10.0,0.0,0.0,0,0.0,0,0.0,0.824
In-111,10.0,0.0,0.0,0,0.0,0,0.0,0.17
In-112,100.0,0.0,0.0,0,0.0,0,0.0,0.155
In-113m,100.0,0.0,0.0,0,0.0,0,0.0,0.151
In-114 ,0.0,0.0,0.0,0,0.0,0,0.0,0.0
In-114m,10.0,0.0,0.0,0,0.0,0,0.0,0.0364
In-115,100.0,0.0,0.0,0,0.0,0,0.0,0.0
In-115m,100.0,0.0,0.0,0,0.0,0,0.0,0.0893
In-116m,10.0,0.0,0.0,0,0.0,0,0.0,0.981
In-117,10.0,0.0,0.0,0,0.0,0,0.0,0.375
In-117m,100.0,0.0,0.0,0,0.0,0,0.0,0.0423
In-119 ,0.0,0.0,0.0,0,0.0,0,0.0,0.0
In-119m,100.0,0.0,0.0,0,0.0,0,0.0,0.0061
Ir-182,10.0,0.0,0.0,0,0.0,0,0.0,0.38
Ir-184,10.0,0.0,0.0,0,0.0,0,0.0,0.791
Ir-185,10.0,0.0,0.0,0,0.0,0,0.0,3.63
Ir-186,10.0,0.0,0.0,0,0.0,0,0.0,0.688
Ir-186m,10.0,0.0,0.0,0,0.0,0,0.0,0.607
Ir-187,100.0,0.0,0.0,0,0.0,0,0.0,0.127
Ir-188,10.0,0.0,0.0,0,0.0,0,0.0,0.617
Ir-189,100.0,0.0,0.0,0,0.0,0,0.0,0.0103
Ir-190,1.0,0.0,0.0,0,0.0,0,0.0,0.814
Ir-190m,10000.0,0.0,0.0,0,0.0,0,0.0,0.0
Ir-190n,10.0,0.0,0.0,0,0.0,0,0.0,0.00191
Ir-192,1.0,0.0,0.0,0,0.0,0,0.0,0.469
Ir-192m,0.0,0.1,1.0,0,0.0,1,0.0,4e-05
Ir-193m,10000.0,0.0,0.0,0,0.0,0,0.0,0.0
Ir-194,100.0,0.0,0.0,0,0.0,0,0.0,0.0477
Ir-194m,10.0,0.0,0.0,0,0.0,0,0.0,0.00052
Ir-195,100.0,0.0,0.0,0,0.0,0,0.0,0.00271
Ir-195m,100.0,0.0,0.0,0,0.0,0,0.0,0.183
K-38,0.0,0.0,0.0,0,0.0,0,0.0,1.08
K-40,1.0,1.0,1.0,0,0.0,1,0.0522,0.0524
K-42,100.0,0.0,0.0,0,0.0,0,0.0,0.0897
K-43,10.0,0.0,0.0,0,0.0,0,0.0,0.57
K-44,10.0,0.0,0.0,0,0.0,0,0.0,0.669
K-45,10.0,0.0,0.0,0,0.0,0,0.0,0.525
Kr-79,0.0,0.0,1.0,0,0.0,1,0.0,0.142
Kr-81,0.0,10.0,1.0,0,0.0,1,0.0,0.00044
Kr-83m,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Kr-85,0.0,1.0,1.0,0,0.0,1,0.0,0.00136
Kr-85m,0.0,0.0,0.0,0,0.0,0,0.0,0.0555
Kr-87,0.0,0.0,0.0,0,0.0,0,0.0,0.267
Kr-88,0.0,0.0,0.0,0,0.0,0,0.0,0.506
Kr-89,0.0,0.0,0.0,0,0.0,0,0.0,0.6
La-131,10.0,0.0,0.0,0,0.0,0,0.0,0.352
La-132,10.0,0.0,0.0,0,0.0,0,0.0,0.934
La-134,1000.0,0.0,0.0,0,0.0,0,0.0,0.424
La-135,1000.0,0.0,0.0,0,0.0,0,0.0,0.00602
La-137,100.0,10.0,1.0,0,0.0,1,0.0,0.0
La-138,0.1,0.0,0.0,0,0.0,0,0.0,0.474
La-140,1.0,0.0,0.0,0,0.0,0,0.0,0.865
La-141,100.0,0.0,0.0,0,0.0,0,0.0,0.00939
La-142,10.0,0.0,0.0,0,0.0,0,0.0,0.635
La-143,100.0,0.0,0.0,0,0.0,0,0.0,0.0964
Lu-169,10.0,0.0,0.0,0,0.0,0,0.0,0.454
Lu-170,10.0,0.0,0.0,0,0.0,0,0.0,0.714
Lu-171,10.0,0.0,0.0,0,0.0,0,0.0,0.32
Lu-172,1.0,0.0,0.0,0,0.0,0,0.0,0.889
Lu-173,1.0,1.0,1.0,0,0.0,1,0.0,0.0436
Lu-174,1.0,1.0,1.0,0,0.0,1,0.0,0.0261
Lu-174m,10.0,0.0,0.0,0,0.0,0,0.0,0.00396
Lu-176,0.1,0.1,1.0,0,0.0,1,0.0,0.23
Lu-176m,1000.0,0.0,0.0,0,0.0,0,0.0,1e-05
Lu-177,100.0,0.0,0.0,0,0.0,0,0.0,0.0106
Lu-177m,0.1,0.0,0.0,0,0.0,0,0.0,0.0838
Lu-178,100.0,0.0,0.0,0,0.0,0,0.0,0.0401
Lu-178m,10.0,0.0,0.0,0,0.0,0,0.0,0.529
Lu-179,1000.0,0.0,0.0,0,0.0,0,0.0,0.0137
Md-257,100.0,0.0,0.0,0,0.0,0,0.0,0.0
Md-258,10.0,0.0,0.0,0,0.0,0,0.0,0.0
Mg-28,10.0,0.0,0.0,0,0.0,0,0.0,0.578
Mn-51,10.0,0.0,0.0,0,0.0,0,0.0,0.606
Mn-52,1.0,0.0,0.0,0,0.0,0,0.0,1.58
Mn-52m,10.0,0.0,0.0,0,0.0,0,0.0,1.08
Mn-53,100.0,10.0,1.0,0,0.0,1,0.0,0.0
Mn-54,0.1,0.1,10.0,37000,360000000.0,1,0.478,0.453
Mn-56,10.0,0.0,0.0,0,0.0,0,0.0,0.658
Mo-101,10.0,0.0,0.0,0,0.0,0,0.0,0.602
Mo-90,10.0,0.0,0.0,0,0.0,0,0.0,0.28
Mo-93,10.0,0.01,0.001,0,38000.0,1,0.0,0.0
Mo-93m,10.0,0.0,0.0,0,0.0,0,0.0,0.968
Mo-99,10.0,0.0,0.0,0,0.0,0,0.0,0.0802
N-13,100.0,0.0,0.0,0,0.0,0,0.0,0.62
Na-22,0.1,0.1,1.0,21000,130000000.0,1,1.11,1.06
Na-24,1.0,0.0,0.0,0,0.0,0,0.0,0.938
Nb-88,10.0,0.0,0.0,0,0.0,0,0.0,2.21
Nb-89,10.0,0.0,0.0,0,0.0,0,0.0,0.597
Nb-89m,10.0,0.0,0.0,0,0.0,0,0.0,0.784
Nb-90,10.0,0.0,0.0,0,0.0,0,0.0,0.877
Nb-91,100.0,10.0,1.0,0,0.0,1,0.0,0.00098
Nb-91m,10.0,0.0,0.0,0,0.0,0,0.0,0.0101
Nb-92,0.0,0.1,1.0,0,0.0,1,0.0,0.0
Nb-92m,10.0,0.0,0.0,0,0.0,0,0.0,0.487
Nb-93m,10.0,10.0,10.0,0,0.0,1,0.0,0.0
Nb-94,0.1,0.1,0.1,0,120.0,1,0.775,0.869
Nb-95,1.0,0.0,0.0,0,0.0,0,0.0,0.43
